日期,入出境總人數_小計
20180513,152845
20180514,142220
20180515,146620
20180516,137755
20180517,153955
20180518,159692
20180519,164752
20180520,165579
20180521,149853
20180522,163524
20180523,140894
20180524,143233
20180525,158239
20180526,161744
20180527,164369
20180528,144376
20180529,136372
20180530,141245
20180531,141674
20180601,150348
20180602,141783
20180603,157523
20180604,139169
20180605,127651
20180606,130132
20180607,140985
20180608,157946
20180609,164109
20180610,165939
20180611,147309
20180612,159211
20180613,150097
20180614,151939
20180615,167487
20180616,170254
20180617,156679
20180618,159614
20180619,162005
20180620,150121
20180621,148426
20180622,158711
20180623,166589
20180624,172803
20180625,153423
20180626,150244
20180627,148146
20180628,156362
20180629,172139
20180630,182707
20180701,174473
20180702,156414
20180703,158046
20180704,149901
20180705,150871
20180706,163872
20180707,168452
20180708,171215
20180709,156213
20180710,110739
20180711,124197
20180712,144347
20180713,116000
20180714,121627
20180715,132655
20180716,158666
20180717,144644
20180718,152505
20180719,128560
20180720,164698
20180721,158473
20180722,172577
20180723,156199
20180724,151891
20180725,155469
20180726,153823
20180727,163737
20180728,155565
20180729,177114
20180730,155043
20180731,151168
20180801,156960
20180802,147480
20180803,158532
20180804,159224
20180805,172031
20180806,153997
20180807,145559
20180808,148067
20180809,148758
20180810,166789
20180811,160141
20180812,172873
20180813,167587
20180814,149292
20180815,160770
20180816,157899
20180817,166158
20180818,167971
20180819,178683
20180820,160710
20180821,151530
20180822,154839
20180823,147730
20180824,161454
20180825,158024
20180826,176522
20180827,156846
20180828,148923
20180829,144822
20180830,136374
20180831,42204
20180901,148193
20180902,158374
20180903,135743
20180904,120606
20180905,135028
20180906,130201
20180907,144938
20180908,137366
20180909,156459
20180910,138685
20180911,128091
20180912,139100
20180913,138598
20180914,151849
20180915,140789
20180916,128489
20180917,140541
20180918,140836
20180919,138337
20180920,138908
20180921,160025
20180922,157933
20180923,146423
20180924,136606
20180925,153962
20180926,141462
20180927,133827
20180928,132666
20180929,136591
20180930,142291
20181001,142686
20181002,135645
20181003,131612
20181004,123476
20181005,147540
20181006,148660
20181007,149551
20181008,135082
20181009,138206
20181010,156123
20181011,141423
20181012,149828
20181013,156535
20181014,170723
20181015,151954
20181016,144379
20181017,154767
20181018,152626
20181019,164147
20181020,162352
20181021,175114
20181022,154569
20181023,145831
20181024,148598
20181025,153564
20181026,165909
20181027,162463
20181028,164010
20181029,146904
20181030,138623
20181031,137457
20181101,142043
20181102,154456
20181103,150069
20181104,160217
20181105,144790
20181106,142376
20181107,141168
20181108,146494
20181109,160411
20181110,160169
20181111,165583
20181112,135665
20181113,146575
20181114,143142
20181115,149369
20181116,164450
20181117,161002
20181118,175285
20181119,151950
20181120,145460
20181121,144217
20181122,148357
20181123,159496
20181124,150120
20181125,166652
20181126,158138
20181127,142249
20181128,138548
20181129,144900
20181130,157872
20181201,149743
20181202,159788
20181203,144527
20181204,141321
20181205,135512
20181206,139055
20181207,151893
20181208,146835
20181209,160890
20181210,147476
20181211,138440
20181212,142844
20181213,142499
20181214,159571
20181215,156561
20181216,164209
20181217,149240
20181218,141841
20181219,143026
20181220,147796
20181221,157035
20181222,156341
20181223,154552
20181224,139082
20181225,142611
20181226,153934
20181227,159842
20181228,175022
20181229,173844
20181230,168334
20181231,152738
20190101,169524
20190102,163684
20190103,144853
20190104,132253
20190105,130459
20190106,144181
20190107,127623
20190108,115755
20190109,114308
20190110,122606
20190111,136432
20190112,140366
20190113,147288
20190114,140288
20190115,134935
20190116,134184
20190117,141947
20190118,157895
20190119,159767
20190120,167480
20190121,155069
20190122,150151
20190123,150810
20190124,157309
20190125,169217
20190126,169016
20190127,172374
20190128,113534
20190129,80165
20190130,115785
20190131,127339
20190201,136167
20190202,143557
20190203,127294
20190204,104589
20190205,95365
20190206,123506
20190207,137738
20190208,137587
20190209,145783
20190210,148692
20190211,137610
20190212,124832
20190213,115661
20190214,90967
20190215,118779
20190216,116118
20190217,122068
20190218,117234
20190219,123403
20190220,141156
20190221,133639
20190222,154655
20190223,147510
20190224,153192
20190225,142557
20190226,146236
20190227,164399
20190228,170729
20190301,166566
20190302,152989
20190303,176900
20190304,161950
20190305,144839
20190306,137914
20190307,145251
20190308,155698
20190309,150201
20190310,169073
20190311,156057
20190312,148856
20190313,132161
20190314,106372
20190315,129630
20190316,160187
20190317,172369
20190318,165355
20190319,151526
20190320,155818
20190321,159615
20190322,150481
20190323,168196
20190324,176640
20190325,164689
20190326,157663
20190327,161415
20190328,160190
20190329,135739
20190330,173149
20190331,177640
20190401,149658
20190402,147326
20190403,168885
20190404,167432
20190405,147712
20190406,161870
20190407,198114
20190408,173683
20190409,154219
20190410,150551
20190411,155857
20190412,171559
20190413,164859
20190414,174758
20190415,172333
20190416,160810
20190417,158975
20190418,166842
20190419,176769
20190420,184358
20190421,189919
20190422,169288
20190423,170271
20190424,160969
20190425,163149
20190426,189210
