date,sum,in,out
20160710,164683,81631,83052
20160711,140541,67754,72787
20160712,137286,66034,71252
20160713,140978,70704,70274
20160714,137515,69638,67877
20160715,157107,82049,75058
20160716,151929,81107,70822
20160717,162885,83478,79407
20160718,148220,73152,75068
20160719,135733,66903,68830
20160720,145026,71618,73408
20160721,138252,70338,67914
20160722,151832,79401,72431
20160723,149957,78924,71033
20160724,163376,81747,81629
20160725,141018,72326,68692
20160726,132981,67830,65151
20160727,138082,70539,67543
20160728,136158,71368,64790
20160729,149278,80053,69225
20160730,146560,78894,67666
20160731,155341,79847,75494
20160801,138274,71574,66700
20160802,122140,61245,60895
20160803,133812,66554,67258
20160804,129283,65438,63845
20160805,146168,74064,72104
20160806,139678,71602,68076
20160807,151015,75034,75981
20160808,130504,65078,65426
20160809,124843,60577,64266
20160810,139447,70356,69091
20160811,139511,71366,68145
20160812,147592,74624,72968
20160813,144798,73282,71516
20160814,158621,77854,80767
20160815,141375,67786,73589
20160816,133049,64312,68737
20160817,133932,64110,69822
20160818,140608,63103,77505
20160819,149231,71087,78144
20160820,146149,71194,74955
20160821,165376,80189,85187
20160822,143222,69309,73913
20160823,138919,70307,68612
20160824,139571,71644,67927
20160825,146865,75634,71231
20160826,146745,78319,68426
20160827,140242,77375,62867
20160828,159369,85433,73936
20160829,129991,63177,66814
20160830,115645,56317,59328
20160831,119981,59304,60677
20160901,125637,61619,64018
20160902,129641,66240,63401
20160903,120284,61480,58804
20160904,142664,69132,73532
20160905,128070,61895,66175
20160906,119708,58978,60730
20160907,126559,63511,63048
20160908,132685,68970,63715
20160909,137548,74469,63079
20160910,139359,76295,63064
20160911,147774,75442,72332
20160912,119363,59848,59515
20160913,130022,63120,66902
20160914,113807,47360,66447
20160915,150349,67128,83221
20160916,127503,61966,65537
20160917,119505,63848,55657
20160918,172777,93258,79519
20160919,153645,80916,72729
20160920,130763,64981,65782
20160921,126222,63008,63214
20160922,128320,64079,64241
20160923,134843,67241,67602
20160924,134016,69377,64639
20160925,153054,78445,74609
20160926,132904,68162,64742
20160927,32412,11844,20568
20160928,160157,93812,66345
20160929,147509,90539,56970
20160930,141082,84357,56725
20161001,128601,79037,49564
20161002,134378,82718,51660
20161003,111573,62295,49278
20161004,109107,55140,53967
20161005,119624,50769,68855
20161006,134142,52038,82104
20161007,146078,58437,87641
20161008,137748,58877,78871
20161009,137290,58057,79233
20161010,140797,67750,73047
20161011,130653,63795,66858
20161012,130226,63695,66531
20161013,123701,59156,64545
20161014,135500,65941,69559
20161015,136299,69135,67164
20161016,149334,74547,74787
20161017,135782,67130,68652
20161018,127330,63957,63373
20161019,135653,67869,67784
20161020,137465,67571,69894
20161021,126137,63201,62936
20161022,148585,74610,73975
20161023,155782,78342,77440
20161024,131744,66269,65475
20161025,135079,72239,62840
20161026,136690,74276,62414
20161027,133136,68404,64732
20161028,149455,79580,69875
20161029,137653,71896,65757
20161030,141798,70033,71765
20161031,128533,68071,60462
20161101,123502,64628,58874
20161102,115723,60536,55187
20161103,123911,66232,57679
20161104,131373,67192,64181
20161105,126062,62771,63291
20161106,144388,68795,75593
20161107,124523,60219,64304
20161108,117739,57838,59901
20161109,122035,61955,60080
20161110,132431,66376,66055
20161111,143714,71646,72068
20161112,134940,70174,64766
20161113,149175,74263,74912
20161114,132328,65061,67267
20161115,133526,65257,68269
20161116,129594,62179,67415
20161117,136106,67401,68705
20161118,144893,72552,72341
20161119,142274,74614,67660
20161120,154888,78409,76479
20161121,135201,68684,66517
20161122,125113,63114,61999
20161123,129585,66609,62976
20161124,132999,70346,62653
20161125,143152,74215,68937
20161126,135482,71406,64076
20161127,150720,73641,77079
20161128,131300,64251,67049
20161129,125008,62873,62135
20161130,124146,62628,61518
20161201,126331,65072,61259
20161202,135027,70377,64650
20161203,129508,68434,61074
20161204,142482,68761,73721
20161205,126751,61394,65357
20161206,120284,59853,60431
20161207,120057,59738,60319
20161208,128606,64613,63993
20161209,137091,70917,66174
20161210,128888,66442,62446
20161211,147340,73989,73351
20161212,128337,61977,66360
20161213,122721,62353,60368
20161214,123264,60620,62644
20161215,133533,68735,64798
20161216,143237,74075,69162
20161217,137477,73036,64441
20161218,150180,76790,73390
20161219,132134,67470,64664
20161220,126155,68195,57960
20161221,128654,69215,59439
20161222,136697,71810,64887
20161223,146728,76479,70249
20161224,141089,77207,63882
20161225,142026,74834,67192
20161226,136354,69865,66489
20161227,137777,70794,66983
20161228,133920,67514,66406
20161229,138664,69164,69500
20161230,150716,72483,78233
20161231,129606,60533,69073
20170101,128447,62041,66406
20170102,143919,70887,73032
20170103,132356,62535,69821
20170104,118930,53841,65089
20170105,114672,52409,62263
20170106,110417,51560,58857
20170107,110800,51644,59156
20170108,127623,57081,70542
20170109,110698,48569,62129
20170110,107211,50443,56768
20170111,104454,51103,53351
20170112,112434,55652,56782
20170113,122086,60249,61837
20170114,127214,61101,66113
20170115,137934,64043,73891
20170116,126461,59280,67181
20170117,122421,59532,62889
20170118,127630,63139,64491
20170119,138890,68165,70725
20170120,154657,76616,78041
20170121,145893,73169,72724
20170122,156478,80977,75501
20170123,138187,76910,61277
20170124,148108,80014,68094
20170125,161872,87180,74692
20170126,165681,86657,79024
20170127,145693,68483,77210
20170128,131738,57042,74696
20170129,143898,67033,76865
20170130,144364,68622,75742
20170131,159944,77681,82263
20170201,171243,84591,86652
20170202,161541,75731,85810
20170203,164292,78478,85814
20170204,160559,77974,82585
20170205,177206,83564,93642
20170206,151641,71133,80508
20170207,143561,69927,73634
20170208,139430,68643,70787
20170209,140781,72830,67951
20170210,147799,77881,69918
20170211,137158,73833,63325
20170212,159126,80905,78221
20170213,141173,68458,72715
20170214,128462,64277,64185
20170215,132363,66978,65385
20170216,136180,71226,64954
20170217,136759,72478,64281
20170218,133608,73067,60541
20170219,145368,72549,72819
20170220,126981,58540,68441
20170221,123084,57910,65174
20170222,124076,56907,67169
20170223,139211,62737,76474
20170224,157022,68207,88815
20170225,155001,67485,87516
20170226,149909,64277,85632
20170227,138925,71825,67100
20170228,145556,84567,60989
20170301,136977,79108,57869
20170302,126802,73072,53730
20170303,128224,72782,55442
20170304,125816,69219,56597
20170305,144934,73833,71101
20170306,126237,61963,64274
20170307,121970,61117,60853
20170308,122598,62083,60515
20170309,131483,66794,64689
20170310,140798,72704,68094
20170311,132352,68925,63427
20170312,147992,73437,74555
20170313,132133,62735,69398
20170314,123446,59965,63481
20170315,132719,66817,65902
20170316,138641,69321,69320
20170317,147196,76519,70677
20170318,142737,75634,67103
20170319,153504,77142,76362
20170320,139530,67162,72368
20170321,138316,68761,69555
20170322,131891,65784,66107
20170323,136381,68102,68279
20170324,149968,76658,73310
20170325,141585,70723,70862
20170326,156174,74140,82034
20170327,136696,65566,71130
20170328,125029,56888,68141
20170329,132408,63277,69131
20170330,152121,72573,79548
20170331,166201,75747,90454
20170401,160734,75076,85658
20170402,151928,76735,75193
20170403,130014,68477,61537
20170404,144459,80123,64336
20170405,149869,78696,71173
20170406,128238,64062,64176
20170407,139994,72766,67228
20170408,145844,78835,67009
20170409,153816,77546,76270
20170410,143989,73483,70506
20170411,136703,73398,63305
20170412,146068,72761,73307
20170413,145837,76143,69694
20170414,162393,86867,75526
20170415,150625,74587,76038
20170416,163372,77212,86160
20170417,147534,67271,80263
20170418,147504,68577,78927
20170419,144612,68412,76200
20170420,152095,70718,81377
20170421,161500,76233,85267
20170422,156021,75591,80430
20170423,160981,76092,84889
20170424,145328,70770,74558
20170425,141780,70238,71542
20170426,146220,77850,68370
20170427,142970,77129,65841
20170428,157718,85748,71970
20170429,152705,86161,66544
20170430,149949,87488,62461
20170501,133937,71156,62781
20170502,135133,68843,66290
20170503,134747,67256,67491
20170504,129818,64221,65597
20170505,129912,62072,67840
20170506,130254,59134,71120
20170507,146085,64227,81858
20170508,122697,53637,69060
20170509,118598,53944,64654
20170510,129242,62012,67230
20170511,119293,55887,63406
20170512,145403,74223,71180
20170513,135995,69554,66441
20170514,143737,68314,75423
20170515,135967,62844,73123
20170516,131648,62100,69548
20170517,140990,67466,73524
20170518,144400,69900,74500
20170519,153081,77723,75358
20170520,148569,75736,72833
20170521,160488,79993,80495
20170522,139248,69316,69932
20170523,131486,63518,67968
20170524,139940,67702,72238
20170525,165366,81212,84154
20170526,170896,79673,91223
20170527,167312,79552,87760
20170528,160992,83702,77290
20170529,140961,79097,61864
20170530,152328,87138,65190
20170531,154693,87345,67348
20170601,144967,75565,69402
20170602,132457,65010,67447
20170603,147784,78569,69215
20170604,157884,75282,82602
20170605,139086,66977,72109
20170606,128688,62400,66288
20170607,132965,65531,67434
20170608,140604,70329,70275
20170609,150629,79200,71429
20170610,144329,72479,71850
20170611,158928,77631,81297
20170612,140072,67828,72244
20170613,131020,61563,69457
20170614,134689,62739,71950
20170615,151109,71745,79364
20170616,155705,73573,82132
20170617,147604,71598,76006
20170618,163109,79235,83874
20170619,154375,77705,76670
20170620,144650,71633,73017
20170621,142718,71801,70917
20170622,151337,74188,77149
20170623,163263,81203,82060
20170624,160803,80239,80564
20170625,174348,83468,90880
20170626,147898,69672,78226
20170627,154405,74527,79878
20170628,145899,71818,74081
20170629,145844,70359,75485
20170630,175522,85723,89799
20170701,156948,73693,83255
20170702,168749,78947,89802
20170703,146445,68313,78132
20170704,139838,62899,76939
20170705,151641,73423,78218
20170706,73518,45689,27829
20170707,152520,74992,77528
20170708,153403,77213,76190
20170709,166134,82252,83882
20170710,155167,75776,79391
20170711,138171,68391,69780
20170712,141463,71248,70215
20170713,144296,71624,72672
20170714,152100,77816,74284
20170715,156067,82494,73573
20170716,166022,83223,82799
20170717,144450,72079,72371
20170718,136013,66645,69368
20170719,143110,72736,70374
20170720,147555,73756,73799
20170721,153381,80101,73280
20170722,151176,80976,70200
20170723,162165,82863,79302
20170724,145300,75239,70061
20170725,138347,69671,68676
20170726,142063,73744,68319
20170727,148484,77229,71255
20170728,153915,80561,73354
20170729,113259,53576,59683
20170730,147427,82132,65295
20170731,152434,81129,71305
20170801,146053,75165,70888
20170802,141066,72698,68368
20170803,145330,74892,70438
20170804,154961,78843,76118
20170805,148777,77808,70969
20170806,160152,81019,79133
20170807,132994,67300,65694
20170808,139838,69313,70525
20170809,143904,71166,72738
20170810,151321,74360,76961
20170811,156461,77682,78779
20170812,155478,77809,77669
20170813,169281,83074,86207
20170814,151350,74557,76793
20170815,146500,70095,76405
20170816,152725,74919,77806
20170817,160121,79806,80315
20170818,165845,80665,85180
20170819,156495,78390,78105
20170820,170706,85185,85521
20170821,148859,73626,75233
20170822,138481,68434,70047
20170823,128606,63986,64620
20170824,155029,77609,77420
20170825,158425,81623,76802
20170826,150608,81429,69179
20170827,150360,76562,73798
20170828,146550,75902,70648
20170829,136757,69225,67532
20170830,126760,62181,64579
20170831,131127,63957,67170
20170901,135947,70592,65355
20170902,122096,63573,58523
20170903,134964,66944,68020
20170904,120721,58177,62544
20170905,115950,55659,60291
20170906,124696,57853,66843
20170907,125817,60814,65003
20170908,136526,69795,66731
20170909,129924,68056,61868
20170910,150825,76290,74535
20170911,130270,64716,65554
20170912,137973,68280,69693
20170913,104593,49612,54981
20170914,114532,60263,54269
20170915,142940,73617,69323
20170916,142277,76202,66075
20170917,136694,69673,67021
20170918,134546,66508,68038
20170919,127036,64838,62198
20170920,129494,63949,65545
20170921,130473,61832,68641
20170922,151618,77059,74559
20170923,135796,69196,66600
20170924,157554,78631,78923
20170925,140254,74112,66142
20170926,132160,72384,59776
20170927,139106,79961,59145
20170928,134864,77389,57475
20170929,145817,81734,64083
20170930,154932,87398,67534
20171001,149352,88809,60543
20171002,137027,77277,59750
20171003,153140,75353,77787
20171004,151623,69265,82358
20171005,146979,58978,88001
20171006,158854,58692,100162
20171007,162409,62626,99783
20171008,153074,60361,92713
20171009,154546,71330,83216
20171010,180083,95625,84458
20171011,147788,75071,72717
20171012,138409,68433,69976
20171013,147165,73415,73750
20171014,154006,81533,72473
20171015,154681,80533,74148
20171016,156153,81249,74904
20171017,139482,73359,66123
20171018,149189,79611,69578
20171019,150362,75826,74536
20171020,159785,82176,77609
20171021,155274,81012,74262
20171022,152254,77575,74679
20171023,149683,73492,76191
20171024,144543,72756,71787
20171025,144178,74444,69734
20171026,145193,74072,71121
20171027,159116,83835,75281
20171028,148099,77624,70475
20171029,153880,75603,78277
20171030,137275,68414,68861
20171031,134870,69268,65602
20171101,133444,68209,65235
20171102,139434,73854,65580
20171103,154174,79026,75148
20171104,142771,71648,71123
20171105,160176,78860,81316
20171106,151563,72548,79015
20171107,139502,68001,71501
20171108,140776,68628,72148
20171109,150352,76077,74275
20171110,158719,83875,74844
20171111,155657,80970,74687
20171112,169505,84915,84590
20171113,144969,70888,74081
20171114,144933,70598,74335
20171115,153086,77387,75699
20171116,151780,72967,78813
20171117,161509,81288,80221
20171118,157241,82255,74986
20171119,166774,84831,81943
20171120,149663,75337,74326
20171121,146219,75565,70654
20171122,144097,72753,71344
20171123,150287,77500,72787
20171124,159218,82535,76683
20171125,152520,76524,75996
20171126,164690,80850,83840
20171127,147105,73272,73833
20171128,141513,70403,71110
20171129,135686,68921,66765
20171130,143498,73910,69588
20171201,147403,76116,71287
20171202,143499,76410,67089
20171203,151267,76129,75138
20171204,137682,66326,71356
20171205,134807,66164,68643
20171206,131803,64940,66863
20171207,137317,67732,69585
20171208,150425,76663,73762
20171209,148006,77137,70869
